, arbitrary netlists,,mean routability,,optimized netlist order,,worst order,
chipsize (XxZ),initial_a,initial_b,mean_a,mean_b,best_a,best_b,worst_a,worst_b
20,16.016639530046525,0.09086137811414889,16.18388318407111,0.08359517089865823,28.34285410219946,0.13780053148651877,8.678440715796244,0.1372994870791307
30,27.800865713512653,0.06270936423475479,27.2270452304994,0.07316494351970208,44.22888441381893,0.1332106059831444,13.018504409262974,0.2110565532684932
40,32.46370093104168,0.07344334640455431,32.497785966168166,0.06229123032363322,52.96110362527124,0.11289781720183104,13.901195670895241,0.2136589938945314
50,35.40037929397698,0.05771331742298663,35.33061317983081,0.05976666361575482,57.31751058097401,0.10091306945150331,16.46712489483888,0.14386202124735956
60,39.261342396848924,0.05460280635855596,38.43151476695759,0.053628651331703955,62.63946248139748,0.08080261601158618,17.71176400434151,0.12252083387249711
70,41.49106874455995,0.051597882213196555,41.81796989819231,0.049891740960928556,66.82899050315599,0.08954171508880819,18.108914339705564,0.13130313885333808
80,44.71443654404991,0.050631171668310555,43.74418557533262,0.04864835672688377,71.25034953084918,0.07564656497749994,19.886244391881416,0.12884778509871891
90,46.39608755755476,0.04565357891673795,45.57746875097417,0.046994465710132355,74.47164993784199,0.07325161368204235,20.39647402218988,0.09665796222714641
100,47.33230296338406,0.04894439434571873,47.83565918840461,0.047223781877998,77.67459228598275,0.08395972857119487,22.465541855346157,0.08877019003065774
